"Position","Job Title","Company","Location","Salary","Short Description","Posted At","Job link"
118,"Data Scientist (Data Scientist 3) - 20196","HII","Doral, FL","$110,000 a year","5 years relevant experience with Bachelors in related field; 3 years relevant experience with Masters in related field; or High School Diploma or equivalent and…",,"https://www.indeed.com/rc/clk?jk=941c71487e8f2ce8&bb=dSRgg_CvgP0E_8zdrIUu5jVT5I153yndmaBuTqmEZRcwPZ4gUJF_rZ1gmvCukzhSkIfd4XgBOxwljsakze877enV_X2ME6bSLGDY9yOFoz4y6TcRzA8JCKIRhYFi_LqA&xkcb=SoC267M39QgBf9yRTx0HbzkdCdPP&fccid=9f2bb83bd9bfe2fc&vjs=3"
119,"Data Scientist","Hubcom","Beverly Hills, CA",,"Knowledge of big data technologies and vaticinate methodologies.
As a Data Scientist, you will be responsible for analyzing complex datasets to provide valuable…","Employer
Active 7 days ago","https://www.indeed.com/rc/clk?jk=996f242007bf6d1e&bb=dSRgg_CvgP0E_8zdrIUu5j_UUAhbd0b-M6uMyvlYT_Yfht2NZsvbBnPjGmGllBSSc3Azf_PXatgxtVCPokmQmBsldGXgpiCyGK1Cc7q1qjzG1-UGlNn76EYZZeE-1jdO&xkcb=SoAC67M39QgBf9yRTx0GbzkdCdPP&fccid=02eb2164b19627ed&cmp=Hubcom&ti=Data+Scientist&vjs=3"
120,"Data Scientist","Chickasaw Nation Industries","Washington, DC",,"Uses data to predict and project trends in industry and academia.
Supports the program team in data analysis and/or writing for scientific publications.",,"https://www.indeed.com/rc/clk?jk=2ae809d9d49ec55a&bb=dSRgg_CvgP0E_8zdrIUu5qR3znoH4TFC7NcezH2sAS0spFYv_ZAUEJaCckEOqUWoXacY7FsrtwlqJSxejBWmYAufPXbKJtfi75E2veMJIqdtiy7WmBQVttDv1HN9TfqP&xkcb=SoCf67M39QgBf9yRTx0FbzkdCdPP&fccid=935ad9e9ef376f5e&vjs=3"
121,"Principal, Data Scientist","Alpine Physician Partners","California",,"It's fun to work in a company where people truly BELIEVE in what they're doing! We're committed to bringing passion and customer focus to the business. Job…",,"https://www.indeed.com/rc/clk?jk=a5eb025ddf377512&bb=wC7y6l0EOJivdeYiUKJVFYZE_cVzBTV6s8GbrtiCIjxMUVz49ZF9cgVzt7G1WUm3ZjwhLu3KN3TFSNZ_e64sV1TOXS6zJ7S4XjRRVJKsj1PmVWCpq0kEm9rzWx0gzPoV&xkcb=SoDv67M39QgBKpw3xJ0LbzkdCdPP&fccid=3e1184af2df208d9&vjs=3"
122,"Data Scientist","US Internal Revenue Service","Hybrid work in Huntsville, AL",,"Participation in Data Scientist activities including projects related to advanced analytics involving exploratory data analysis, descriptive analytics, and…",,"https://www.indeed.com/rc/clk?jk=af2b9b50c81f32be&bb=wC7y6l0EOJivdeYiUKJVFQvEnnyQaw1qozOuRs3bWwpB3KCkc-AVn8D57MGf2tvyHUo2GxSzk8iUc28ypb0DrcORP-oneEQ2jV_220n6bF7oGoPIfUXXQA%3D%3D&xkcb=SoBb67M39QgBKpw3xJ0KbzkdCdPP&fccid=39ca88c90a37b09b&vjs=3"
123,"Data Scientist","Sev1Tech","Fort Belvoir, VA",,"Create and maintain data dictionary.
Ensures that the proposed objects are consistent with data and process models.
Minimum 15 years relevant experience.",,"https://www.indeed.com/rc/clk?jk=f5ac7a651ebc1c97&bb=wC7y6l0EOJivdeYiUKJVFYZE_cVzBTV6l_AQtUfC-TLdaykg5fd0BuZtgB_Qy74aS30-Qtsd8FllriwCMKRBuX8nkJ447V-FiqAVc40lBxHBn4GnIN-ALVCfipcad-Li&xkcb=SoDG67M39QgBKpw3xJ0JbzkdCdPP&fccid=99166376c05f4841&vjs=3"
124,"Data Scientist","Andromeda Systems Incorporated","Jacksonville, FL 32244 
(Oak Hill area)",,"Perform exploratory data analysis on various disparate data sets to understand structure, quality, and gain insights.",,"https://www.indeed.com/rc/clk?jk=24f9805a5d9412df&bb=wC7y6l0EOJivdeYiUKJVFRhOU9xqqcQ8F_MNPMf4MLjb3N7Arn44y8f7dIVz0mdzyFvWSE0kupT1AQTBo2Im-igh1XAo7WLl3Wp_-8qY-AATLLa13S2iwCL4xxo3b3e_&xkcb=SoBh67M39QgBKoQ3xJ0LbzkdCdPP&fccid=6556943afc7913f5&vjs=3"
125,"Data Scientist Graduate (E-commerce Governance)-2025 Start (BS/MS)","TikTok","Seattle, WA","$128,250 - $190,000 a year","Hands-on experience in open source machine learning frameworks such as pytorch and tensorflow.
Develop scientific metrics to measure success of E-Commerce…",,"https://www.indeed.com/rc/clk?jk=acdeb685b8743f8c&bb=wC7y6l0EOJivdeYiUKJVFRp2dBprX5bqknPvnK931VsKUvmmUXCMkpyl81YB4sXZIbhWuOkrCiTAQABj6v89A3KA_K5tDA67-GRgQx7YVKjGzJRP9PGGjYf-WWEbXJMI&xkcb=SoDV67M39QgBKoQ3xJ0KbzkdCdPP&fccid=caed318a9335aac0&vjs=3"
126,"Data Scientist","Parsons","Maryland","$117,000 - $210,600 a year","Apply machine learning techniques to identify and transform data features, find hidden patterns and trends, build and optimize classifiers, create automated…",,"https://www.indeed.com/rc/clk?jk=364143882cdc24b4&bb=wC7y6l0EOJivdeYiUKJVFW3dZJ2Ng8vGS2ZLXV8oqAA8NtCiGaDO-1n04sf3y82MLPz9aHdeWuJNRnDLbF2gFin7R8mVxWL7DkA3xMkO_lQ1Ye_z1hR_o2HOHZEEGNVj&xkcb=SoBI67M39QgBKoQ3xJ0JbzkdCdPP&fccid=e8f998ddd15bac9c&vjs=3"
127,"Staff Data Scientist, Dashboard Analytics","Square","San Francisco, CA",,"As a Data Scientist, you will use data engineering, business intelligence, analytics, statistics, and machine learning to empower data-driven decision-making in…","Employer
Active 2 days ago","https://www.indeed.com/rc/clk?jk=cf36a472e251825e&bb=wC7y6l0EOJivdeYiUKJVFTGMUISo0fhyBVlE24njCmd4-ZnBbpzTPhWlfbSbu--dL8FPQsR51yx0MnLDTM2Di2Svo1ugJqBLNtovk5_Y0AkomaLIsuSjrNHc_f15Laun&xkcb=SoD867M39QgBKoQ3xJ0IbzkdCdPP&fccid=6f1129ccfbf5c9e9&vjs=3"
128,"Sr. Data Scientist","omega solutions inc","Santa Ana, CA",,"Field Team Modernization/Intelligent Decision Management - build and support of new predictive data models 2) Coding Transformation - build and support of new…",,"https://www.indeed.com/rc/clk?jk=8109a1ef6d8c9fef&bb=wC7y6l0EOJivdeYiUKJVFbNPoeLyW9FT0PttaEpVUhSIZ6gqB-HO5KzdFGVV2YuyTIOBm3JzWEC7srQwGnTnUbTlrZUM58U6dFUUu5ZVZJIGQaBJSufmDNHgtyQXFwBF&xkcb=SoBy67M39QgBKoQ3xJ0PbzkdCdPP&fccid=9e399301940ed66e&vjs=3"
129,"Data Scientist","Yale University","Hybrid work in New Haven, CT 06510",,"The work spans work with structured and unstructured data in the electronic health record (EHR), with the opportunity to work on applications of machine…",,"https://www.indeed.com/rc/clk?jk=bd2339bf9e1d0ecd&bb=wC7y6l0EOJivdeYiUKJVFZM8n0FsWNXqtffZV5J8GjtxrMgkbYY3wnMMq1NU0KEfx4rCRTBhy3h8WOFBjB2TTWJ6E1qxET8Ted4xJv1BH3fahCix12-PQg%3D%3D&xkcb=SoDG67M39QgBKoQ3xJ0ObzkdCdPP&fccid=24aa47c814aee6e7&vjs=3"
130,"Lead Data Scientist","STLogics","Hybrid work in Indianapolis, IN 46225",,"Proven experience as a lead data scientist, with a strong background in machine learning and data modeling.
Experience with model training and deployment using…","Employer
Active 11 days ago","https://www.indeed.com/rc/clk?jk=4284a1fa63a29edd&bb=wC7y6l0EOJivdeYiUKJVFaQWEqT2ZaOlgp78U0WS9gsKpL2p18vYR-cvuc8HZK-bbrIss5_UnG8J9b1Gz2PKMiQZfoAaL0BzfZdS3CDFw9HLWvyXmwNBJlHJ36WR2Uvi&xkcb=SoBb67M39QgBKoQ3xJ0NbzkdCdPP&fccid=67fd5ed73fbc9625&cmp=STLogics&ti=Lead+Data+Scientist&vjs=3"
131,"Senior Data Scientist","2U","Lanham, MD",,"Expert knowledge of applied statistics and machine learning techniques.
We are looking for someone who has a history of using data science to solve business…",,"https://www.indeed.com/rc/clk?jk=2af83b8b37c62f24&bb=wC7y6l0EOJivdeYiUKJVFWnB4OzeE96A_3Icv4BlaJ33zAkT3fDaRpP15wlBlfsUTFDhIOjSAiOCADKB87e3NXfjNKXIPEik-dVTSXzuA0uXWfFSbLGvv9Kb0f-qT_ov&xkcb=SoDv67M39QgBKoQ3xJ0MbzkdCdPP&fccid=8f236bae1b36b1dc&vjs=3"
132,"Data Scientist","Southern Glazer’s Wine and Spirits","Miramar, FL 33027","$90,000 - $100,000 a year","Support the long-term vision of supply chain through effective implementation of data reporting, analytics, and insights.
Ability to mine large sets of data.",,"https://www.indeed.com/rc/clk?jk=e878609eeb3635b5&bb=wC7y6l0EOJivdeYiUKJVFTGMUISo0fhyqvRRuwK8teYIXa5DK7k6jqWmtwQaZSG7XaZLrTtG6xbbeFPgc7yzKdvbqNA5kabQmbBlRsSoM2JNZJk10eE9lTUj14LAHt-p&xkcb=SoAG67M39QgBKoQ3xJ0DbzkdCdPP&fccid=52a28443b9a60e8d&vjs=3"
133,"Data Scientist","Syntelligent Analytic Solutions","Washington, DC 20201 
(South West area)",,"4+ years of experience in computer science, data science, data analytics.
To that end, you will work with cross-functional teams to identify relevant and…",,"https://www.indeed.com/rc/clk?jk=c3a1da24ca8520ce&bb=wC7y6l0EOJivdeYiUKJVFQSFTc-Bb5Z7ZWOGAVhoMUNT0XuEhQf0iRwbKgZ_6WqUmU-zZcfeLqux6xKdrt2d9ZPpbPr7yX7Lq9zUWzGopGdptyjBYOfPdYc2Z08eOfTG&xkcb=SoCy67M39QgBKoQ3xJ0CbzkdCdPP&fccid=025f5fd370e93345&vjs=3"
134,"Data Scientist / Project Manager","PlantSustain Inc.","Danville, VA 24540",,"3+ years of experience in data analysis, statistical modeling, and machine learning.
The ideal candidate will possess strong analytical skills, experience with…","Employer
Active 5 days ago","https://www.indeed.com/rc/clk?jk=1f51d87ca2ba837c&bb=wC7y6l0EOJivdeYiUKJVFVjMbvHofV9WEX5v6HBK5RDoyYg1_erhIaLf1uJzYJBQcu01gZIYf92iOs3rJo5GbrcUh3fsEz8ey71Rn2-DP-SK0D_WHGk8KX8smLZb075P&xkcb=SoAv67M39QgBKoQ3xJ0BbzkdCdPP&fccid=f4c32291f4d3110d&cmp=PlantSustain-Inc.&ti=Data+Project+Manager&vjs=3"
135,"Quality Data Scientist","BlueOval SK","Stanton, TN",,"Experience with Google Cloud Platform for data processing and machine learning tasks.
Develop, implement, and fine-tune anomaly detection machine learning…",,"https://www.indeed.com/rc/clk?jk=64ede6d617db809c&bb=wC7y6l0EOJivdeYiUKJVFRLX3rVVFcMPQywO4BCIXXMqdNuNMZrw3DQeBVNigAIQW_7iSQYNzpsFDHl8D3-mW69Mlt8g3F2isHEHOjIjQbQwFVv_iAistmiHWAR7tRpi&xkcb=SoCb67M39QgBKoQ3xJ0AbzkdCdPP&fccid=50c3d43518e90183&vjs=3"
136,"Principal Data Scientist","MEDSTAR HEALTH","Maryland",,"Under general direction of the Assistant Vice President of Clinical Data & Analytics, engages in all activities necessary to provide analyses of qualitative and…",,"https://www.indeed.com/rc/clk?jk=ddf21fec3dba48f3&bb=qmMNNs4mJ3JnEqzMOo7PPPQeYRt6tcT0KSB3c0GoXm8b-lrXMwkgr2xn1Niy4W1uBSyQl64Zlk5UNzdkuMKbG8KlV6TZQnDJWxRX8Lrz9Lo7Zf-r-lcGgg%3D%3D&xkcb=SoAF67M39QgA4YwGrJ0LbzkdCdPP&fccid=15052e463273cdf3&vjs=3"
137,"Data Scientist - Forest Futures Lab","Cary Institute of Ecosystem Studies","Millbrook, NY",,"The data scientist will also work with the Collaborative to develop interactive, engaging, and accessible data summaries and visualizations of scientific data…","Employer
Active 3 days ago","https://www.indeed.com/rc/clk?jk=9db3b8ba1371339a&bb=qmMNNs4mJ3JnEqzMOo7PPN8IJcusNk5A0-Fctnqt61qTZMOs7NpQAJn9nlAnsPGBodrxnA0wGCnL8WtU_f8JgdPAkT2Mk2cnbxla_1fAEP63tpMyVeDCYJ5eI3qTbqmu&xkcb=SoCx67M39QgA4YwGrJ0KbzkdCdPP&fccid=fcdc402e300b6775&vjs=3"
138,"Data Scientist","Metropolitan Police Department","Washington, DC 20001 
(Judiciary Square area)",,"Expertise in data analytics and scientific methodology and a passion to apply those scientific talents to improve government and MPD performance.",,"https://www.indeed.com/rc/clk?jk=22ea9471a8e955ff&bb=qmMNNs4mJ3JnEqzMOo7PPETTb04GznbKK80d4NlWbafJsQq4hf0hzoScxn5qmF8PTtwPwMcPbPDpp-mFn9_jhcJIEgwdiafMs6oYq8NPRoBsU47hd5OvPX3DzkcNLDYE&xkcb=SoAs67M39QgA4YwGrJ0JbzkdCdPP&fccid=6def73afac1541ee&vjs=3"
139,"Data Scientist II","University of Rochester","Rochester, NY",,"Collaborates to develop, manage and execute project plans.
Proficiency with Python (or R), including common machine/deep learning libraries and their…",,"https://www.indeed.com/rc/clk?jk=6eea4b355329a0a4&bb=qmMNNs4mJ3JnEqzMOo7PPBMyZkhCOit2pVzrD4-S6_5Bp_M4_5glS7dBkEsbjTTJAEeB4q2uB2O7Om3tdh3HrpIQOSayiFf_6oToRJbpmviWgRPk7to8WGIXaQ8GbVsV&xkcb=SoCY67M39QgA4YwGrJ0IbzkdCdPP&fccid=92278e592a11e3a5&vjs=3"
140,"Platform Data Analyst","Reveleer","Remote",,"Leveraging proprietary technology, robust data sets, and subject matter expertise, Reveleer provides complete record retrieval and review services so health…",,"https://www.indeed.com/rc/clk?jk=aedb527fc5023e31&bb=qmMNNs4mJ3JnEqzMOo7PPAVbNUtQAwPk0rnRHUffDeOu35F6Ee3g84zr_y-Ehs8vShg2mRnL2-y2BuxVxOR7z-faGmjBBQ1sZ1V5gcLhKGUViO-1ut6B1vYUuvjhSU-a&xkcb=SoAW67M39QgA4YwGrJ0PbzkdCdPP&fccid=9a4203cb5eab1466&vjs=3"
141,"Data Scientist","Ingenio, LLC","Remote",,"3+ years of experience with Python or R frameworks used for data manipulation, visualizations, and mining.
2+ years of experience working with linear regression…",,"https://www.indeed.com/rc/clk?jk=436eae1acb0ccbea&bb=qmMNNs4mJ3JnEqzMOo7PPN8IJcusNk5A9A5Fs6W-4C-0tXlKqa7XhEI-XUTPAnSCJfu2yJhj4kJEn5q696zVQM9ajOBRyP3il5DGOi0C0dN1ICtPTvqeI_uO98WmEG3P&xkcb=SoCi67M39QgA4YwGrJ0ObzkdCdPP&fccid=5f781a1a9a15d952&vjs=3"
142,"Lead Data Scientist","PayPal","Hybrid work in San Jose, CA","$96,900 - $234,300 a year","Perform deep dive analyses on key business trends from multiple perspectives and package the insights into easily consumable presentations.",,"https://www.indeed.com/rc/clk?jk=0895c1eb1312a931&bb=qmMNNs4mJ3JnEqzMOo7PPEiv6qWxyzURB9ZPEcLRKH0GzjA1ODbOula64fFgNDufzv1HPXIdis-NW9vHx2UmKVuHLcc467D87KdK3cGP1AEWK4BgBHm6Dw%3D%3D&xkcb=SoA_67M39QgA4YwGrJ0NbzkdCdPP&fccid=978d9fd9799d55a8&vjs=3"
143,"Data Scientist With Graph","Woodiewin Technologies","Plano, IA 52581",,"Provide charts, graphs, data analysis and technical/engineering results to leadership and customers.
Proven experience in designing and implementing GenAI…","Employer
Active 4 days ago","https://www.indeed.com/rc/clk?jk=b4a80990efef893e&bb=qmMNNs4mJ3JnEqzMOo7PPEEkN7JSkdzboSlbtCvDHcLVBpthmtqu-LbUfihGCm0yel-HtWFc4P20UCWOorO7e5WqVjEd1woFpuKEGSFth1Z3D8yExUIMK5mTR45cm0md&xkcb=SoCL67M39QgA4YwGrJ0MbzkdCdPP&fccid=024b5df0dc156d9b&cmp=Woodiewin-Technologies&ti=Data+Scientist&vjs=3"
144,"Big Data, Data Scientist and Visualization Specialist","NextEra Logic, LLC","Washington, DC 20001 
(Sursum Corda Cooperative area)","$150,000 - $180,000 a year","This person shall have experience in data and metrics requirements generation, data quality diagnostic analytics, data collection plan and strategies, data…","Employer
Active 3 days ago","https://www.indeed.com/rc/clk?jk=f8eaaf08ecae08bb&bb=qmMNNs4mJ3JnEqzMOo7PPDYPpXh7ZCfVjjlF8rOGONlwr4Az2_N1kZn3PTzT1DTZEnN595IKnX1XZByqWq9WX1cGX2lPy6ajVAkzEOO_uKEOgL35AaIB5vJleTxgYVl9&xkcb=SoBi67M39QgA4YwGrJ0DbzkdCdPP&fccid=b8eec0c5106a2511&cmp=KTRIAN-Solutions-Private-Limited&ti=Data+Scientist&vjs=3"
145,"Senior Data Scientist 2, Biological","Eikon Therapeutics","Hayward, CA 94545 
(Glen Eden area)",,"Your work will be pivotal in driving our research and development efforts, utilizing your expertise in systems biology, big data analytics, and machine learning…",,"https://www.indeed.com/rc/clk?jk=55095e782ff6befb&bb=qmMNNs4mJ3JnEqzMOo7PPAVbNUtQAwPkxCdgKziKZPce0qT0TnzSukDcaCTXd_eZP8lqhzZf9VOcefQA5MkWkEHws6l7G1AbE-pzesk73q0ocRxG-eJAdgOD5iypObcl&xkcb=SoDW67M39QgA4YwGrJ0CbzkdCdPP&fccid=c36ab81177bb3198&vjs=3"
146,"Senior Marketing Data Scientist, Marketing Analytics (Tinder LLC (f/k/a Match Group LLC), Dallas, TX)","Match Group","Remote","$155,000 - $191,500 a year","Must also have experience in the following: 3 years of professional experience using data science including analyzing and reporting customer behavior in…",,"https://www.indeed.com/rc/clk?jk=ed4c0a603b8eeedb&bb=qmMNNs4mJ3JnEqzMOo7PPFAaWnsXixEccBYvOzxaVhHXD8fdb-P0wDi2Xn9JdqD2vjWlUM6BnZT25WKtwXjnv7cub9MpTJEzDnpqibMzc09TfR4cgBOEfnJzpPZorrLh&xkcb=SoBL67M39QgA4YwGrJ0BbzkdCdPP&fccid=47feb0effe4ed4f2&vjs=3"
147,"Data Scientist","Metric5","Reston, VA",,"The team utilizes open-source, AWS Cloud, and Big Data technologies, agile project management practices, and modern DevSecOps delivery to provide the business…","Employer
Active 4 days ago","https://www.indeed.com/rc/clk?jk=31f0ffcdca182ffb&bb=qmMNNs4mJ3JnEqzMOo7PPObYHzQTfOaoqXZfys1kkvBsYDHnwiwtAd-WnYmX6d0k3uuegtiwrzNvLOYjl-1N-O7nzPVK3p_n_HtmUFZ1bo1ggJN_w02QCvtkG0EU1KZM&xkcb=SoD_67M39QgA4YwGrJ0AbzkdCdPP&fccid=b3052253a9bda869&vjs=3"
148,"Senior Data Scientist","Providence","Texas","$59.73 - $96.15 an hour","The Senior Data Scientist is a subject matter expert who leverages data science and knowledge of health care data to develop data-driven solutions focused on…",,"https://www.indeed.com/rc/clk?jk=e7115552a42ce70e&bb=qmMNNs4mJ3JnEqzMOo7PPDEB1mD5v8SvwocBB6lDK6PQ5Kvh5lH7kfNyyf7BJ8ekPZJjiVcu7wnN6CUZ9qEnbLI1zOzfAw7hJ9013ex7D-TT7mXyr1vjmg%3D%3D&xkcb=SoBx67M39QgA4YwGrJ0HbzkdCdPP&fccid=84c8ed4c8205d753&vjs=3"
149,"Data Scientist","Caterpillar","East Peoria, IL 61611",,"Performing data gathering, data mining, and data processing on large volumes of data; creating appropriate data models.
Business Technologies, Digital and Data.",,"https://www.indeed.com/rc/clk?jk=c25b1296f9579f73&bb=qmMNNs4mJ3JnEqzMOo7PPDrawcq94BPLtAp8xJjn8nvGsxER7AaNDTbRN6qqWwWeI4BrM6ZQMSUS4AVBJBho9HAh8FHDBdMJ4SWUWUQ3ELlqy2teXBuhVA%3D%3D&xkcb=SoDF67M39QgA4YwGrJ0GbzkdCdPP&fccid=d723225da214c842&vjs=3"
150,"Data Scientist III","University of Southern Mississippi","Gulfport, MS 39501",,"Incumbents are expected to conduct, evaluate, and interpret scientific data and studies with considerable independent judgment and discretion under the general…",,"https://www.indeed.com/rc/clk?jk=8f8ff57d1deebd23&bb=qmMNNs4mJ3JnEqzMOo7PPEiv6qWxyzUR5f5-oZiJom5nVsUuW17DUNIY8-OzXAjyyyvapsk93-Vj_3TK7mt9FQ0L9RCtEkWAMH-p1uMV2hKl3pJ1Uh7tjvwtzKo_dBGW&xkcb=SoBY67M39QgA4YwGrJ0FbzkdCdPP&fccid=2c6c7e36b60d49f4&vjs=3"
151,"Data Scientist","Booz Allen","Norfolk, VA","$96,600 - $220,000 a year","As a data scientist, you’re excited at the prospect of unlocking the secrets held by a data set, and you’re fascinated by the possibilities presented by IoT,…",,"https://www.indeed.com/rc/clk?jk=d894e3b88c67e22f&bb=6Sx346lsXZetB7jcXr6_JP5Vk1nDy3HziHExqYWwkeZinyfEGZ9IrWz8vRTeZpq4pOOPhlfh7PQvQdXnOQo-atCyvLQJ53LLEPcUZrHx5WJ4iv6FPGKBzPBjzwDOuTI2&xkcb=SoC267M39QgATLzdW50KbzkdCdPP&fccid=4e041af1d0af1bc8&vjs=3"
152,"AI Data Scientist - Indianapolis, IN","Company: Bureau Veritas","Indianapolis, IN",,"The AI Data Scientist is responsible for employing LLM (large language models) deep learning models with large data sets (numeric and text) from various sources…",,"https://www.indeed.com/rc/clk?jk=8fe12bd7cbc45601&bb=6Sx346lsXZetB7jcXr6_JFntGwKumYO0RWxD630Vst-6icxBD54E1LPe7wq4IZxOtHPBN-tVqyDVkavZGqJjmb3GA1RdGCVbSXz2oLTXfq4znJiMNpgWSLdlhKyWfYcp&xkcb=SoAr67M39QgATLzdW50JbzkdCdPP&fccid=fdd8787d3dc18c3e&vjs=3"
153,"Data Scientist","Queens District Attorney's Office","Kew Gardens, NY",,"Work alongside and collaboratively with internal staff and external vendor(s) to expand data available through ETL processes for reporting, analytics, and…",,"https://www.indeed.com/rc/clk?jk=179e2eecb4cb63eb&bb=6Sx346lsXZetB7jcXr6_JD5VH5VEETpAJheQIL15okhUGeqEZa4P8mIqhdjZlI0bOJiwzefF3WfSis2hm6IFxOeOmC8YbX-8SMEB1QfsYYwFNJLfsk4-96LNK08k0G3i&xkcb=SoCf67M39QgATLzdW50IbzkdCdPP&fccid=2cbaae216304279f&vjs=3"
154,"Cybersecurity Data Scientist","Empower","Remote in Colorado","$84,000 - $118,575 a year","Perform advanced analytics on fraud and cyberattack data to identify trends, inform our investigations teams, and lead to the addition of useful detection…",,"https://www.indeed.com/rc/clk?jk=63b6b4edce3fe624&bb=6Sx346lsXZetB7jcXr6_JAQBDDBr9ag5QUA1vumnmAa8GGSVLyLBWT-zXU2OTsd2J8fKqh-A46Y5yew-a7_w17bW5NMjESm1xZhvNOhUErVcUU0mEc_QGQ%3D%3D&xkcb=SoAR67M39QgATLzdW50PbzkdCdPP&fccid=796b5a2c2fc5984d&vjs=3"
155,"Sr. Data Scientist/Analytics","Drury Hotels","St. Louis, MO 63131",,"The Sr. Data Scientist/Analytics is responsible for formulating and conducting appropriate and applicable analysis; and is responsible for identifying and…",,"https://www.indeed.com/rc/clk?jk=14fc5e552dc194b1&bb=6Sx346lsXZetB7jcXr6_JOMPueHnGJ4cSVICZGTO319VV14DBTeFYzj9vO2wpGdZnx9pc8PW76IiD8-mGD2apeJwYEa9hau4VRUWI_wG7V9w527GiXoZhQ%3D%3D&xkcb=SoCl67M39QgATLzdW50ObzkdCdPP&fccid=5afb4f1cb9fff34f&vjs=3"
156,"Senior Data Scientist - Economy","ProFocus","Remote in Oregon",,"Develop frameworks for analyzing economic data trade areas using transaction data.
Collaborate with data engineering teams to implement data features in…",,"https://www.indeed.com/rc/clk?jk=95063a1ec787e02e&bb=6Sx346lsXZetB7jcXr6_JFm8ORSoIpPCJ8fE-ZoEM5YSQK5M6k1fFmtyM5u2H1XhRFmj29H-gbsncoUZUc9EgWz0nqblaEtYIIEhIe2qoWRQR3OBY7NfQyn5mMRQbGZA&xkcb=SoA467M39QgATLzdW50NbzkdCdPP&fccid=159e4bd46ffbb441&vjs=3"
157,"Senior Data Scientist","Atlassian","Remote in San Francisco, CA 94104","$145,300 - $193,800 a year","Expertise at telling stories with data and familiarity with at least one visualization tool (e.g. Tableau, R-Shiny, Microstrategy, SAP Business Objects, Looker,…",,"https://www.indeed.com/rc/clk?jk=4f78057069a1536d&bb=6Sx346lsXZetB7jcXr6_JIZCvOvilRciW9u969ifqY00fGdzPSSbu07X-XL-ujoDOADecE56SfXpwzFF8B9qTomfaPidbjdnFEXFjYJd6OmHmnGbze0jnc7tt4FljbHd&xkcb=SoCM67M39QgATLzdW50MbzkdCdPP&fccid=e6d4ba9e2cfe7902&vjs=3"
158,"Machine Learning, Senior Data Scientist","Envision Pharma Group","Remote",,"A Senior Data Scientist specializing in Machine Learning is responsible for leveraging advanced data science skills, including machine learning and AI…",,"https://www.indeed.com/rc/clk?jk=1683f63e7ab16f0b&bb=6Sx346lsXZetB7jcXr6_JKJBIzoXkXBX1pMd0O-iI8rdaCiQNAFFF_GHWrSMtx4VLKUXiX6x263K42WW9VRP-mgRLLhyLovxkhClEYU9NWLzKWMkBX1r0n1vq9C3XdeN&xkcb=SoBl67M39QgATLzdW50DbzkdCdPP&fccid=7b7d3bfb8f5257f4&vjs=3"
159,"Data Scientist","Fusion Innovation","Tysons Corner, VA",,"Demonstrated experience with Natural Language Processing (NLP)/text processing in one or more of the following: text preprocessing and cleaning for downstream…",,"https://www.indeed.com/rc/clk?jk=6dfab58b3c9c4f10&bb=6Sx346lsXZetB7jcXr6_JHBrp8VKj-ATpS7yrzOmZh2WCY-zpp4Tnq5lNQNBojUy6_AXTvM7U0763VPtFglclK9rerLeNf5lmxLYcChcu0SPQDJ_rPutpBFHgsn-F1A2&xkcb=SoDR67M39QgATLzdW50CbzkdCdPP&fccid=6d92bfd1430e8fa4&vjs=3"
160,"Data Scientist, Translational Sciences","Neogene Therapeutics","Santa Monica, CA",,"Contribute to the development of bioinformatic models of clinical NGS data.
You will lead bioinformatic research efforts from multi-omic clinical trial data.",,"https://www.indeed.com/rc/clk?jk=02cfd645a3325fb3&bb=6Sx346lsXZetB7jcXr6_JPOQi24_4ddG-h6az-l6yBIaJDX6OFlmdcO1Ab6cZmqlIT3Su5kgeIQyppKHv3AjiB-3l3YwG6d1V6zEkF1YYYRhDD4FwWFQKG1cl-NbwAPo&xkcb=SoBM67M39QgATLzdW50BbzkdCdPP&fccid=f8f435b753fe4c72&vjs=3"
161,"Data Scientist/Sr Data Scientist, IT Operations Research and Advanced Analytics","American Airlines","Dallas, TX 75219 
(Downtown area)",,"Techniques include building predictive or classification models by employing statistical models, machine learning, deep learning, NLP, GenAI, LLMs, etc.",,"https://www.indeed.com/rc/clk?jk=2ec4dd3a53dbede2&bb=6Sx346lsXZetB7jcXr6_JOlbGu9Fquq2IxtEUX6gaGTpxCrayTwamAlHf17dwbbbiPGd2hKZCCW_3RXnx5gbtOQlfy38562Q-WHD30s5sY6YLWtfTtTmbQ%3D%3D&xkcb=SoD467M39QgATLzdW50AbzkdCdPP&fccid=b445cea762cc7d0d&vjs=3"
162,"Data Scientist II","DISH","Littleton, CO 80120","$111,300 a year","Perform data engineering and analysis activities related to the building of the first standalone 5G network.
The posting will be active for a minimum of 3 days.",,"https://www.indeed.com/rc/clk?jk=cb5b4d9d82fed685&bb=6Sx346lsXZetB7jcXr6_JPOQi24_4ddGnU0Oe0AKbq5fCGOvBYOSeM1RxkrZKHHp8bvdTMv5FJRHmuN72HrLVbzjKvhD1Jm1vgcZSyAfIW1PZmY0mDrQJw%3D%3D&xkcb=SoCM67M39QgATKTdW50LbzkdCdPP&fccid=3c371b712ace44cf&vjs=3"
